Name,Description
Fatigue and Fracture of Adhesively-Bonded Composite Joints,Materials Science 2014
Handbook of Ceramics Grinding and Polishing,Materials Science 2014
Modelling Degradation of Bioresorbable Polymeric Medical Devices,Materials Science 2014
Biofiber Reinforcements in Composite Materials,Materials Science 2014
Insights in Mathematics 4,Mathematics 2014
"A Course in Mathematical Statistics, Third Edition",Mathematics 2014
"Table of Integrals, Series, and Products",Mathematics 2014
Doing Bayesian Data Analysis,Mathematics 2014
Practical Predictive Analytics and Decisioning Systems for Medicine,Mathematics 2014
Mathematical Statistics with Applications,Mathematics 2014
An Introduction to Probability and Statistical Inference,Mathematics 2014
Logic and Computation,Mathematics 2014
Neurobiology of Brain Disorders,Neuroscience 2014
Movement Disorders,Neuroscience 2014
Rosenberg's Molecular and Genetic Basis of Neurological and Psychiatric Disease,Neuroscience 2014
Bioactive Nutriceuticals and Food Supplements in Neurological and Brain Disease,Neuroscience 2014
"Neuromuscular Disorders of Infancy, Childhood, and Adolescence",Neuroscience 2014
The Biology of Thought,Neuroscience 2014
Diabetes and the Nervous System,Neuroscience 2014
Alcohol and the Nervous System,Neuroscience 2014
Drugs During Pregnancy and Lactation,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
The Endocannabinoidome,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Dictionary of Toxicology,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Veterinary Toxicology for Australia and New Zealand,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
History of Toxicology and Environmental Health,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Advances in Molecular Toxicology,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Controlled Drug Delivery,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Oral Delivery of Insulin,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Handbook of Cosmeceutical Excipients and their Safeties,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Optical Radiometry for Oceans Climate Measurements,Physics and Astronomy 2014
Quantum Machine Learning,Physics and Astronomy 2014
Physics and Engineering of Radiation Detection,Physics and Astronomy 2014
Handbook of Crystal Growth,Physics and Astronomy 2014
Handbook of Crystal Growth,Physics and Astronomy 2014
Handbook of Crystal Growth,Physics and Astronomy 2014
Simulations with NX,Plastics Engineering Hanser 2014
Heat Treatment,Plastics Engineering Hanser 2014
Finite Element Analyses for Engineers,Plastics Engineering Hanser 2014
Understanding Plastics Rheology,Plastics Engineering Hanser 2014
Handbook of Plastics Failure Analysis,Plastics Engineering Hanser 2014
PVC Stabilizers/Additive,Plastics Engineering Hanser 2014
Designing Plastic Parts for Assembly,Plastics Engineering Hanser 2014
Textile Technology,Plastics Engineering Hanser 2014
Measures of Personality and Social Psychological Constructs,Psychology 2014
Evolutionary Origins and Early Development of Basic Number Processing,Psychology 2014
Successful Private Practice in Neuropsychology,Psychology 2014
Z Score Neurofeedback,Psychology 2014
China’s Venture Capital Market,Social Sciences 2014
The Changing Role of the Human Resource Profession in the Asia Pacific Region,Social Sciences 2014
Managing the One-Person Library,Social Sciences 2014
Library 3.0,Social Sciences 2014
Disaster Planning for Libraries,Social Sciences 2014
Libraries and Public Perceptions,Social Sciences 2014
Accidental Information Discovery,Social Sciences 2014
Shaping Knowledge,Social Sciences 2014
Online Arab Spring,Social Sciences 2014
The Preservation and Protection of Library Collections,Social Sciences 2014
China,Social Sciences 2014
Scholarly Information Search in the Networked Academic Learning Environment,Social Sciences 2014
"Performance, Risk and Competition in the Chinese Banking Industry",Social Sciences 2014
Practical Tools for Managing Technology in Libraries,Social Sciences 2014
The Globalisation of Chinese Business,Social Sciences 2014
Boosting the Knowledge Economy,Social Sciences 2014
Digital Scholarship,Social Sciences 2014
Improving Student Information Search,Social Sciences 2014
Going Beyond the Gate Count: Proactive Marketing for the New and Experienced Academic Library Director,Social Sciences 2014
IScience/IMetrics: New Information Trends and Services for Scientists on the Web,Social Sciences 2014
Intellectual Property and Assessing its Financial Value,Social Sciences 2014
